RecordID,DateOpened,Site,ProductFamily,Category,Severity,UnitsAffected,DaysOpen,Status,RootCauseCategory,Owner
NC-1001,2026-01-08,Riverton NA-1,Velvet Bloom,Packaging,Major,4200,41,Closed,Supplier Material,A. Okonjo
NC-1002,2026-01-15,Delft EU-2,Noir Serum,Labeling,Minor,900,12,Closed,Human Error,M. Bianchi
NC-1003,2026-01-22,Kaipara AP-3,Hydra Veil,Fill Weight,Major,7600,58,Closed,Equipment,S. Ramirez
NC-1004,2026-02-02,Riverton NA-1,Velvet Bloom,Packaging,Minor,1500,9,Closed,Supplier Material,A. Okonjo
NC-1005,2026-02-11,Delft EU-2,Atlas Balm,Microbiological,Critical,300,96,Closed,Process Control,K. Thomsen
NC-1006,2026-02-19,Kaipara AP-3,Noir Serum,Labeling,Minor,2200,14,Closed,Human Error,S. Ramirez
NC-1007,2026-03-03,Riverton NA-1,Hydra Veil,Fill Weight,Major,5100,47,Closed,Equipment,J. Park
NC-1008,2026-03-09,Delft EU-2,Velvet Bloom,Packaging,Major,6300,52,Closed,Supplier Material,M. Bianchi
NC-1009,2026-03-17,Kaipara AP-3,Atlas Balm,Appearance,Minor,800,11,Closed,Process Control,S. Ramirez
NC-1010,2026-03-25,Riverton NA-1,Noir Serum,Packaging,Major,3900,38,Closed,Supplier Material,A. Okonjo
NC-1011,2026-04-01,Delft EU-2,Hydra Veil,Fill Weight,Major,4700,44,Closed,Equipment,K. Thomsen
NC-1012,2026-04-08,Kaipara AP-3,Velvet Bloom,Packaging,Critical,8800,102,Closed,Supplier Material,J. Park
NC-1013,2026-04-16,Riverton NA-1,Atlas Balm,Labeling,Minor,600,8,Closed,Human Error,A. Okonjo
NC-1014,2026-04-23,Delft EU-2,Noir Serum,Appearance,Minor,1100,16,Closed,Process Control,M. Bianchi
NC-1015,2026-05-04,Kaipara AP-3,Hydra Veil,Packaging,Major,5400,49,Closed,Supplier Material,S. Ramirez
NC-1016,2026-05-12,Riverton NA-1,Velvet Bloom,Fill Weight,Major,6100,55,Closed,Equipment,J. Park
NC-1017,2026-05-20,Delft EU-2,Atlas Balm,Microbiological,Critical,250,88,Closed,Process Control,K. Thomsen
NC-1018,2026-05-28,Kaipara AP-3,Noir Serum,Packaging,Major,4300,40,Closed,Supplier Material,S. Ramirez
NC-1019,2026-06-05,Riverton NA-1,Hydra Veil,Labeling,Minor,1700,13,Closed,Human Error,A. Okonjo
NC-1020,2026-06-12,Delft EU-2,Velvet Bloom,Packaging,Major,7200,61,Closed,Supplier Material,M. Bianchi
NC-1021,2026-06-22,Kaipara AP-3,Atlas Balm,Fill Weight,Major,3600,35,Closed,Equipment,J. Park
NC-1022,2026-07-01,Riverton NA-1,Noir Serum,Appearance,Minor,950,10,Closed,Process Control,A. Okonjo
NC-1023,2026-07-09,Delft EU-2,Hydra Veil,Packaging,Major,5900,53,Closed,Supplier Material,K. Thomsen
NC-1024,2026-07-17,Kaipara AP-3,Velvet Bloom,Packaging,Critical,9400,110,Open,Supplier Material,S. Ramirez
NC-1025,2026-07-24,Riverton NA-1,Atlas Balm,Labeling,Minor,1300,15,Closed,Human Error,J. Park
NC-1026,2026-08-03,Delft EU-2,Noir Serum,Fill Weight,Major,4800,46,Open,Equipment,M. Bianchi
NC-1027,2026-08-11,Kaipara AP-3,Hydra Veil,Packaging,Major,6700,57,Open,Supplier Material,S. Ramirez
NC-1028,2026-08-19,Riverton NA-1,Velvet Bloom,Microbiological,Critical,400,33,Open,Process Control,A. Okonjo
NC-1029,2026-08-26,Delft EU-2,Atlas Balm,Packaging,Major,5200,26,Open,Supplier Material,K. Thomsen
NC-1030,2026-09-02,Kaipara AP-3,Noir Serum,Appearance,Minor,1050,19,Open,Process Control,J. Park
NC-1031,2026-09-04,Riverton NA-1,Hydra Veil,Packaging,Major,6400,17,Open,Supplier Material,A. Okonjo
NC-1032,2026-09-08,Delft EU-2,Velvet Bloom,Fill Weight,Major,3300,13,Open,Equipment,M. Bianchi
NC-1033,2026-09-10,Kaipara AP-3,Atlas Balm,Labeling,Minor,700,11,Open,Human Error,S. Ramirez
NC-1034,2026-09-12,Riverton NA-1,Noir Serum,Packaging,Major,5800,9,Open,Supplier Material,J. Park
NC-1035,2026-09-15,Delft EU-2,Hydra Veil,Microbiological,Critical,180,6,Open,Process Control,K. Thomsen
NC-1036,2026-09-17,Kaipara AP-3,Velvet Bloom,Packaging,Major,7100,4,Open,Supplier Material,S. Ramirez
